tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Music,4919,University of Toronto at Scarborough,Ken,,McLeod,1786172,4,average,TEACHER,PROFESSOR,3.4
Social Science,4919,University of Toronto at Scarborough,Colin,,McMahon,1554498,0,zero,TEACHER,PROFESSOR,N/A
Human Geography amp City Studies,4919,University of Toronto at Scarborough,Rebecca,,McMillan,2402613,1,good,TEACHER,PROFESSOR,5.0
Management,4919,University of Toronto at Scarborough,Dwayne,,McMulkin,1168243,7,average,TEACHER,PROFESSOR,3.0
Social Science,4919,University of Toronto at Scarborough,Scott,,McRoberts,1919827,3,average,TEACHER,PROFESSOR,3.3
Theater,4919,University of Toronto at Scarborough,Scott,,Mealey,2518700,1,good,TEACHER,PROFESSOR,5.0
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Eric,,Mendelsohn,602274,3,average,TEACHER,PROFESSOR,3.0
Physics,4919,University of Toronto at Scarborough,Kristen,,Menou,2221320,2,poor,TEACHER,PROFESSOR,2.0
Environmental Science,4919,University of Toronto at Scarborough,Mandy,,Meriano,2409982,0,zero,TEACHER,PROFESSOR,N/A
Science,4919,University of Toronto at Scarborough,Mandy,,Meriano,884403,8,average,TEACHER,PROFESSOR,2.5
Human Geography amp City Studies,4919,University of Toronto at Scarborough,Joe,,Mihevc,2468269,3,poor,TEACHER,PROFESSOR,1.0
Chemistry,4919,University of Toronto at Scarborough,Svetlana (lana),,Mikhaylichenko,1432506,3,average,TEACHER,PROFESSOR,3.3
Chemistry,4919,University of Toronto at Scarborough,Lana,,Mikhaylichenko,1424480,19,good,TEACHER,PROFESSOR,4.3
English,4919,University of Toronto at Scarborough,Anne,,Milne,1855908,13,poor,TEACHER,PROFESSOR,2.3
Geography,4919,University of Toronto at Scarborough,John,,Miron,639793,27,average,TEACHER,PROFESSOR,3.0
Science,4919,University of Toronto at Scarborough,Carl,,Mitchell,1508045,15,good,TEACHER,PROFESSOR,3.5
Languages,4919,University of Toronto at Scarborough,Sylvia,,Mittler,2273436,1,good,TEACHER,PROFESSOR,4.0
Humanities,4919,University of Toronto at Scarborough,Sylvia,,Mittler,420337,15,poor,TEACHER,PROFESSOR,2.2
Management,4919,University of Toronto at Scarborough,Ted,,Mock,1577992,4,poor,TEACHER,PROFESSOR,2.2
Languages,4919,University of Toronto at Scarborough,Safieh,,Moghaddam,2418188,12,good,TEACHER,PROFESSOR,3.7
Psychology,4919,University of Toronto at Scarborough,Fatuma,,Mohamed,2330161,0,zero,TEACHER,PROFESSOR,N/A
Science,4919,University of Toronto at Scarborough,Tanzina,,Mohsin,1508044,27,poor,TEACHER,PROFESSOR,2.2
Human Geography  City Studies,4919,University of Toronto at Scarborough,Sharlene,,Mollett,1986335,8,average,TEACHER,PROFESSOR,2.8
Biological Sciences,4919,University of Toronto at Scarborough,Péter,K,Molnár,2151526,13,poor,TEACHER,PROFESSOR,1.8
Languages,4919,University of Toronto at Scarborough,Philip,,Monahan,2565425,0,zero,TEACHER,PROFESSOR,N/A
Management,4919,University of Toronto at Scarborough,Samantha,,Montes,1072077,5,good,TEACHER,PROFESSOR,4.2
Anthropology,4919,University of Toronto at Scarborough,Hollis,,Moore,1910787,2,good,TEACHER,PROFESSOR,3.8
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Eric,,Moore,629011,38,average,TEACHER,PROFESSOR,2.5
Political Science,4919,University of Toronto at Scarborough,Toby,,Moorsoom,1476880,1,good,TEACHER,PROFESSOR,4.0
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Michael,,Moras,1506780,7,average,TEACHER,PROFESSOR,2.9
Computer & Math. Sciences,4919,University of Toronto at Scarborough,Mike,,Moras,1604139,2,good,TEACHER,PROFESSOR,4.0
Health Science,4919,University of Toronto at Scarborough,Rob,,Moriarity,2215605,1,good,TEACHER,PROFESSOR,5.0
Science,4919,University of Toronto at Scarborough,Robert,Joseph,Moriarity,2397681,1,poor,TEACHER,PROFESSOR,1.0
Psychology,4919,University of Toronto at Scarborough,Mark,,Morrissey,2564637,1,good,TEACHER,PROFESSOR,5.0
