tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Criminal Justice,1484,University of Toronto - St. George Campus,Rosemary,,Gartner,1590680,5,good,TEACHER,PROFESSOR,4.8
Theater,1484,University of Toronto - St. George Campus,Ken,,Gass,125832,8,good,TEACHER,PROFESSOR,4.0
Italian,1484,University of Toronto - St. George Campus,Kathleen,,Gaudet,1728308,15,good,TEACHER,PROFESSOR,4.9
Civil Engineering,1484,University of Toronto - St. George Campus,Paul,,Gauvreau,221925,24,average,TEACHER,PROFESSOR,3.3
Continuing Education,1484,University of Toronto - St. George Campus,Sarah,,Gayer,1903514,8,average,TEACHER,PROFESSOR,3.2
Mathematics,1484,University of Toronto - St. George Campus,Maxime,,Gazeau,2198969,2,good,TEACHER,PROFESSOR,5.0
Sociology,1484,University of Toronto - St. George Campus,Nir,,Gazit,1311147,2,average,TEACHER,PROFESSOR,3.0
Education,1484,University of Toronto - St. George Campus,Ruben,,Gaztambide-Fernandez,1060284,5,good,TEACHER,PROFESSOR,4.8
Economics,1484,University of Toronto - St. George Campus,Robert,,Gazzale,1737717,153,average,TEACHER,PROFESSOR,3.5
History,1484,University of Toronto - St. George Campus,Terri,,Gee,1432169,1,average,TEACHER,PROFESSOR,2.5
Art History,1484,University of Toronto - St. George Campus,Arlene,,Gehmacher,567901,4,poor,TEACHER,PROFESSOR,1.0
Mathematics,1484,University of Toronto - St. George Campus,Ilya,,Gekhtman,2468888,2,poor,TEACHER,PROFESSOR,1.0
Mathematics,1484,University of Toronto - St. George Campus,Jesse,,Gell-Redman,1865901,4,good,TEACHER,PROFESSOR,4.5
Medicine,1484,University of Toronto - St. George Campus,Jeff,,Genik,894492,0,zero,TEACHER,PROFESSOR,N/A
Electrical Engineering,1484,University of Toronto - St. George Campus,Roman,,Genov,349510,18,average,TEACHER,PROFESSOR,3.5
Finance,1484,University of Toronto - St. George Campus,Craig,,Geoffrey,2170572,10,good,TEACHER,PROFESSOR,3.9
Medicine,1484,University of Toronto - St. George Campus,Tony,,George,1477162,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1484,University of Toronto - St. George Campus,William,,George,2103175,1,poor,TEACHER,PROFESSOR,1.5
Physical Ed,1484,University of Toronto - St. George Campus,Carl,,Georgevski,102887,3,good,TEACHER,PROFESSOR,4.0
Women's Studies,1484,University of Toronto - St. George Campus,Dina,,Georgis,1422002,27,good,TEACHER,PROFESSOR,4.5
Business,1484,University of Toronto - St. George Campus,George,,Georgopolous,98908,9,average,TEACHER,PROFESSOR,3.1
Management,1484,University of Toronto - St. George Campus,George,,Georgopoulos,246073,5,good,TEACHER,PROFESSOR,3.7
Philosophy,1484,University of Toronto - St. George Campus,Lloyd,,Gerson,89508,97,average,TEACHER,PROFESSOR,2.8
History,1484,University of Toronto - St. George Campus,Alexandra,,Gerstner,2131417,1,good,TEACHER,PROFESSOR,5.0
Architecture,1484,University of Toronto - St. George Campus,Miles,,Gertler,2447777,3,good,TEACHER,PROFESSOR,5.0
Psychology,1484,University of Toronto - St. George Campus,Monica,,Ghabrial,2262772,1,good,TEACHER,PROFESSOR,4.0
Art History,1484,University of Toronto - St. George Campus,Paula,,Gheorghiade,2368043,1,good,TEACHER,PROFESSOR,5.0
Dentistry,1484,University of Toronto - St. George Campus,Abolfazl,,Ghorbani,2573398,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1484,University of Toronto - St. George Campus,Samprit,,Ghosh,2516949,1,good,TEACHER,PROFESSOR,4.0
Medicine,1484,University of Toronto - St. George Campus,Adria,,Giacca,2404726,2,average,TEACHER,PROFESSOR,2.5
English,1484,University of Toronto - St. George Campus,Camilla,,Gibb,1995455,0,zero,TEACHER,PROFESSOR,N/A
Philosophy,1484,University of Toronto - St. George Campus,Robert,,Gibbs,27358,11,good,TEACHER,PROFESSOR,4.4
Mathematics,1484,University of Toronto - St. George Campus,Alison,,Gibbs,330196,13,good,TEACHER,PROFESSOR,4.9
Electrical Engineering,1484,University of Toronto - St. George Campus,Courtney,,Gibson,29086,4,good,TEACHER,PROFESSOR,4.3
Philosophy,1484,University of Toronto - St. George Campus,Jennifer,,Gibson,2326802,6,good,TEACHER,PROFESSOR,3.8
Italian,1484,University of Toronto - St. George Campus,Manuela,,Gieri,10054,15,good,TEACHER,PROFESSOR,3.8
Political Science,1484,University of Toronto - St. George Campus,Lilach,,Gilady,714283,38,good,TEACHER,PROFESSOR,3.6
Social Science,1484,University of Toronto - St. George Campus,Emily,,Gilbert,1918564,1,good,TEACHER,PROFESSOR,5.0
Theology,1484,University of Toronto - St. George Campus,Gillian,,Gillison,179736,25,poor,TEACHER,PROFESSOR,2.1
International Studies,1484,University of Toronto - St. George Campus,Julie,,Gilmour,1910813,2,good,TEACHER,PROFESSOR,5.0
English,1484,University of Toronto - St. George Campus,David,,Gilmour,1291693,10,good,TEACHER,PROFESSOR,4.2
Theology,1484,University of Toronto - St. George Campus,Etienne,,Gilson,1131767,0,zero,TEACHER,PROFESSOR,N/A
Law,1484,University of Toronto - St. George Campus,Barry,,Glaspell,1709970,0,zero,TEACHER,PROFESSOR,N/A
English,1484,University of Toronto - St. George Campus,Bill,,Glassco,442696,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1484,University of Toronto - St. George Campus,Paul,,Glavin,1673436,2,good,TEACHER,PROFESSOR,3.5
Psychology,1484,University of Toronto - St. George Campus,Elizabeth,,Glenn,1860002,1,average,TEACHER,PROFESSOR,3.0
Biochemistry,1484,University of Toronto - St. George Campus,John,,Glover,579891,7,good,TEACHER,PROFESSOR,4.1
Political Science,1484,University of Toronto - St. George Campus,Abbas,,Gnamo,906625,14,average,TEACHER,PROFESSOR,2.6
Sociology,1484,University of Toronto - St. George Campus,Melissa,,Godbout,2399138,9,poor,TEACHER,PROFESSOR,1.1
Linguistics,1484,University of Toronto - St. George Campus,Ross,,Godfrey,2318279,1,poor,TEACHER,PROFESSOR,1.0
Science,1484,University of Toronto - St. George Campus,Dorothea,,Godt,30625,16,good,TEACHER,PROFESSOR,4.0
Near Eastern Studies,1484,University of Toronto - St. George Campus,Katja,,Goebs,1090080,16,average,TEACHER,PROFESSOR,3.3
Electrical Engineering,1484,University of Toronto - St. George Campus,Ashvin,,Goel,357428,21,average,TEACHER,PROFESSOR,3.0
History,1484,University of Toronto - St. George Campus,Joseph,,Goering,14872,26,good,TEACHER,PROFESSOR,4.2
Philosophy,1484,University of Toronto - St. George Campus,Willi,,Goetschel,1733185,8,poor,TEACHER,PROFESSOR,1.6
Science,1484,University of Toronto - St. George Campus,Cynthia,,Goh,49773,44,poor,TEACHER,PROFESSOR,2.0
Economics,1484,University of Toronto - St. George Campus,Chuan,,Goh,538199,26,poor,TEACHER,PROFESSOR,1.8
Psychology,1484,University of Toronto - St. George Campus,Christina,,Gojmerac,636167,1,average,TEACHER,PROFESSOR,2.5
Languages,1484,University of Toronto - St. George Campus,Elaine,,Gold,61260,26,good,TEACHER,PROFESSOR,3.6
Religion,1484,University of Toronto - St. George Campus,Sol,,Goldberg,1910495,9,good,TEACHER,PROFESSOR,4.8
Marketing,1484,University of Toronto - St. George Campus,Avi,,Goldfarb,83417,25,average,TEACHER,PROFESSOR,3.1
English,1484,University of Toronto - St. George Campus,Marlene,,Goldman,70068,8,average,TEACHER,PROFESSOR,2.6
Biology,1484,University of Toronto - St. George Campus,Corey,,Goldman,234637,6,good,TEACHER,PROFESSOR,4.3
Philosophy,1484,University of Toronto - St. George Campus,Danny,,Goldstick,13428,28,average,TEACHER,PROFESSOR,3.0
Information Science,1484,University of Toronto - St. George Campus,Greta,,Golick,1599428,5,good,TEACHER,PROFESSOR,3.6
Philosophy,1484,University of Toronto - St. George Campus,Andre,,Gombay,42038,17,good,TEACHER,PROFESSOR,4.3
Medicine,1484,University of Toronto - St. George Campus,Jennifer,,Gommerman,2461753,2,good,TEACHER,PROFESSOR,4.5
